,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t,fan
46,오투포,3,여,100121,,은성기획,,1999.0,,159
47,샤크라,4,여,100068,,키스,"황보, 정려원",2000.0,한 (Come A Come),384
48,에스지,3,여,100952,,,,2000.0,,89
49,파파야,3,여,101398,,윈섬미디어,조은새,2000.0,내 얘길 들어봐,482
50,제이티엘,3,남,101448,,예전미디어,"장우혁, 토니 안, 이재원",2001.0,A Better Day,1751
51,비오케이,4,남,1050192,,,"션리, 리누",2016.0,기분좋은날,253
52,엑스라지,4,남,100779,,상마인드,"제롬, 배동일, 고재형, 최준호, 엄상혁",,,38
53,보이 클럽,3,남,101123,,,,2000.0,,29
54,오션,5,남,101223,,신나라뮤직,"렌, 노아, 마린, 로이",2001.0,More Than Words,723
55,플래티넘,5,남,100765,,DR뮤직,,2001.0,,31
56,케이팝,5,남,101266,,미래,,2001.0,,695
