,source,target,count
417,조성호,펜타곤,5
418,김종숙,씨유,5
419,이기 (오레오),오렌지캬라멜,5
420,박진영,트와이스,5
421,소진 (걸스데이),걸스데이,5
422,이재원,제이티엘,5
423,정하나,시크릿,5
424,김부민,소녀시대,5
425,LIØN,젝스키스,5
426,정채연,다이아,5
427,준호,투피엠,5
428,쥬시 (JUCY),이블,5
429,Mafly,소녀시대,5
430,슈퍼창따이,투피엠,5
431,김정배,슈퍼주니어,5
432,김우진,베이비 복스 리브,5
433,LEEZ,드림캐쳐,5
434,제이하트 (J.Heart),제이하트,5
435,최강창민 (MAX),동방신기,5
436,MQ,엑소,5
437,김영아,브라운 아이드 걸스,5
438,김철민,허니스트,5
439,최태규,테이크,5
440,이승호,알이에프,5
441,서용배 (TENTEN),에이오에이,5
442,오종혁,클릭비,5
443,이승호,핑클,5
444,슈퍼창따이,레이디스 코드,5
445,주호,에스에프나인,5
446,혜림 (원더걸스),원더걸스,5
447,김종국,터보,5
448,이희승,클릭비,5
449,이스란,레드벨벳,5
450,임상혁,포미닛,5
451,김재양,에프티 아일랜드,5
452,조영수,티아라,5
453,황민현,뉴이스트,5
454,Razer (Strike),러블리즈,5
455,CL,투애니원,5
456,라이머,블락비,5
457,Steven Lee,더블에스오공일,5
458,천둥,엠블랙,5
459,이상호,에이오에이,5
460,하울,멜로디데이,5
461,황성진,디헤븐,5
462,성진,데이식스,5
463,별들의 전쟁,씨스타,5
464,조윤경,에프엑스,5
465,승환,로미오,5
466,송수윤,스텔라,5
467,Ferdy (MosPick),펜타곤,5
468,최명섭,젝스키스,5
469,BEOMxNANG,이엑스아이디,5
470,첸 (CHEN),엑소,5
471,BEOMxNANG,빅톤,5
472,박진영,미쓰에이,5
473,슬리피,비에이피,5
474,에스나 (eSNa),마마무,5
475,이주형 (MonoTree),에이프릴,5
476,빨강 (Red),풍뎅이,4
477,조윤경,트랙스,4
478,Sean Alexander,더블에스오공일,4
479,NEW SUN(뉴썬),소나무,4
480,Jae,데이식스,4
481,TAQ,힌트,4
482,Super Bomb,드림캐쳐,4
483,우리형과 내동생,비원에이포,4
484,블랙아이드 필승,씨스타,4
485,최승호,솔리드,4
486,조규만,플라이 투 더 스카이,4
487,Stereo14,몬스타엑스,4
488,영광의 얼굴들 (Full8loom),터보,4
489,영빈,에스에프나인,4
490,The Platonix,틴탑,4
491,진영 (GOT7),JJ 프로젝트,4
492,옥주현,핑클,4
493,Tablo,젝스키스,4
494,Slow Rabbit,방탄소년단,4
495,TKO,마이네임,4
496,키 (KEY),샤이니,4
497,지오 (G.O),엠블랙,4
498,Sangmind,룰라,4
499,KZ,써니힐,4
500,차쿤 (일렉트로보이즈),헬로비너스,4
501,오브로스,아스트로,4
502,Ye-Yo!,몬스타엑스,4
503,용감한 형제,제국의 아이들,4
504,카푸,힌트,4
505,KZ,히스토리,4
506,Mimi (Oh My Girl),오마이걸,4
507,찬희,에스에프나인,4
508,오레오,헤일로,4
509,Kenzie,슈퍼주니어,4
510,지국현,플라이 투 더 스카이,4
511,지성,티알씨엔지,4
512,오민,솔리드,4
513,용감한 형제,헬로비너스,4
514,용감한 형제,포미닛,4
515,박지연 (MonoTree),이달의 소녀 오드아이써클,4
516,KUSH,아이콘,4
517,별들의 전쟁,에이오에이,4
518,ZeroZine (MosPick),포미닛,4
519,ZigZag Note,레인보우,4
520,Unknown,핑클,4
521,빅싼초 (Yummy Tone),포미닛,4
522,조종수,투피엠,4
523,Sam Lewis,틴탑,4
524,최갑원,피에스타,4
525,e.one,우주소녀,4
526,주찬양 (티맥스),신화,4
527,진리 (Full8loom),위키미키,4
528,e.one,여자친구,4
529,주찬양 (티맥스),유키스,4
530,채영,트와이스,4
531,최갑원,버즈,4
532,서용배 (TENTEN),오렌지캬라멜,4
533,Mafly,몬스타엑스,4
534,Rphabet,인피니트,4
535,e.one,나인뮤지스,4
536,박창현,슈퍼주니어,4
537,정호현 (e.one),에이프릴,4
538,정은경,컬러링 베이비 7공주,4
539,용감한 형제,빅플로,4
540,오준성,샤이니,4
541,디스코 파이터,쥬얼리,4
542,안영민,대국남아,4
543,David Kim,신화,4
544,이현도,마이네임,4
545,Denis Seo,달샤벳,4
546,David Kim,카라,4
547,이특 (LEETEUK),슈퍼주니어,4
548,김영아,보이스립,4
549,David Kim,씨스타,4
550,라이머,티아라,4
551,승연 (Luizy),유니크,4
552,심재훈,달샤벳,4
553,David Kim,걸스데이,4
554,김영아,클릭비,4
555,슬리피,소나무,4
556,김영후,샤이니,4
557,라파엘,투피엠,4
558,미오 (MIO),여자친구,4
559,리나,미스터미스터,4
560,FRANTS,원더걸스,4
561,한경혜,베이비 복스 리브,4
562,소년비행,유키스,4
563,김민정,샤이니,4
564,김민종,더 블루,4
565,인행 (IN HAENG),헤일로,4
566,김민지,버즈,4
567,낯선,에이스,4
568,인우,시크릿,4
569,Dr.JO,갓세븐,4
570,김보은,드림캐쳐,4
571,김부민,동방신기,4
572,김부민,에프엑스,4
573,Alexandra,BP 라니아,4
574,김성수,트랙스,4
575,김성재,듀스,4
576,김혜선,솔리드,4
577,BIGBANG,빅뱅,4
578,김형준,더블에스오공일,4
579,이재훈 (쿨),쿨,4
580,허성진,틴탑,4
581,김이나,히스토리,4
582,김재덕,제이워크,4
583,김재양,씨엔블루,4
584,김창환,베이비복스,4
585,김정배,소녀시대,4
586,이용민,엔알지,4
587,이창민,투에이엠,4
588,이재원,에이치오티,4
589,호현,티알씨엔지,4
590,이재경,핑클,4
591,은종태,샤이니,4
592,은채,다이아,4
593,김진아,버즈,4
594,마부스 (Maboos),씨스타,4
595,김태윤,베이비 복스 리브,4
596,김이나,인피니트,4
597,Cream (M.I.B),엠아이비,4
598,Crom,문차일드,4
599,슈퍼창따이,미쓰에이,4
600,매드클라운,몬스타엑스,4
601,홍지유,슈가,4
602,송수윤,더블에스오공일,4
603,이준,솔리드,4
604,슈퍼창따이,백퍼센트,4
