,artist,member_num,gender,idol_id,agency_old,agency_new,artist_m,debut_y,debut_t
24,쎄쎄쎄,3,여,101710,,희레코드,,1996,
25,베이비복스,5,여,216382,,DR뮤직,황연경,2007,Shee
26,에스이에스,3,여,100016,,SM,"유진, 바다, 슈",1997,(`Cause) I`m Your Girl
27,원타임,4,남,100001,,YG,"송백경, 태빈, TEDDY",1998,1tym
28,신화,6,남,100078,SM,신화컴퍼니,"앤디, 에릭, 전진, 신혜성, M (이민우), 김동완",1998,해결사
29,이글 파이브,5,남,100051,,,,1998,궤도
30,오피피에이 공공칠,5,남,101508,,베토벤뮤직,,,
31,팬클럽,6,남,102213,,,비,,
32,써클,5,여,100036,,조선음향,,1998,
33,쿠키,3,여,777429,,드림,,,
34,핑클,4,여,100065,,DSP미디어,"이효리, 옥주현, 성유리, 이진",1998,Blue Rain
35,플라이 투 더 스카이,2,남,100183,SM,H2미디어,"환희, 브라이언",1999,Day By Day
36,에이포,4,남,100763,,,,1999,
37,클릭비,7,남,100070,,DSP미디어,"강후, 오종혁, 김상혁, 우연석, EVAN 에반 (유호석), 하현곤, 노민혁",1999,Promise
38,와이투케이,3,남,100021,,조선음향,고재근,1999,헤어진 후에
39,god,5,남,100007,,iHQ싸이더스),"김태우, 손호영, 데니안, 박준형, 윤계상",1999,어머님께
40,문차일드,4,남,100185,,GM기획,이수 (엠씨 더 맥스),2000,Delete
41,오투알,5,남,100011,,,김재근,1999,
42,씨유,3,여,100086,,동아기획,,1999,
43,폭스,4,여,100077,,OGSOUND,,1999,
44,클레오,3,여,101397,,호,,1999,Good Time
45,티티마,5,여,100017,,뮤직팩토리,,1999,Prism
46,오투포,3,여,100121,,은성기획,,1999,
47,샤크라,4,여,100068,,키스,"황보, 정려원",2000,한 (Come A Come)
48,에스지,3,여,100952,,,,2000,
49,파파야,3,여,101398,,윈섬미디어,조은새,2000,내 얘길 들어봐
50,제이티엘,3,남,101448,,예전미디어,"장우혁, 토니 안, 이재원",2001,A Better Day
51,비오케이,4,남,1050192,,,"션리, 리누",2016,기분좋은날
52,엑스라지,4,남,100779,,상마인드,"제롬, 배동일, 고재형, 최준호, 엄상혁",,
53,보이 클럽,3,남,101123,,,,2000,
54,오션,5,남,101223,,신나라뮤직,"렌, 노아, 마린, 로이",2001,More Than Words
55,플래티넘,5,남,100765,,DR뮤직,,,
56,케이팝,5,남,101266,,미래,,2001,
57,디베이스,3 (5),남,100688,,H2,"송지훈, 제드",2001,
58,쥬얼리,3,여,101487,,스타제국,"김은정, 하주연, 김예원, 박세미",2001,사랑해
59,투야,3,여,100786,,Astars,,2001,봐
60,알,4,여,100883,,매스컴,,,
61,보이스코,4,여,101262,,자이브레코드,,2001,
62,밀크,4,여,101444,,SM,박희본,2001,Come To Me
63,블랙 비트,5,남,101735,,SM,,2002,
64,보이스립,3,남,102453,,,,2002,
65,큐오큐,5,남,101758,,상마인드,정철,2002,
66,제이워크,2,남,102409,,,"장수원, 김재덕",2002,Suddenly
67,악동 클럽 (디 에이디),5,남,262503,,GM,,2002,Remember
68,파이브,4,남,103326,,에이치앤제이,"장해영, 서지원, 우정태, 김현수",2002,Girl
69,슈가,4,여,101447,,스타월드,"아유미, 하린",2001,
70,신비,3,여,102370,,SM,,2002,To My Friend
71,스위티,3,여,101483,,YG,이은주,2002,
72,러브,3,여,102454,,싸이더스HQ,전혜빈,2002,Orange Girl
73,데자부,4,여,103492,,,,2002,Run
74,동방신기,2 (5),남,108316,,SM,"유노윤호 (U-KNOW), 최강창민 (MAX)",2004,Hug
75,버즈,5,,160091,,산타뮤직,"민경훈, 손성희, 윤우현, 신준기, 김예준",2003,어쩌면...
76,에스,3,남,107744,,SM,"신혜성, 강타 (KANGTA), 이지훈",2003,I Swear
77,스맥스,3,남,107408,,시즌,,2003,
78,테이크,5,남,105789,,Blue,"장성재, 신승희",2003,
79,모닝,4,여,105688,,,,2003,
80,제이엔씨,6,남,160801,,키스,"우연석, 오종혁, 김상혁, 장수원, 김재덕",2004,하루가 지나고
81,트랙스,2 (4),남,108965,,SM,"제이 (JAY), 정모 (JUNGMO)",2004,Paradox
82,엘프,4,여,108892,,STN,,2004,
83,제이하트,3,여,674319,,MPLAN,,,
84,컬러링 베이비 7공주,7,여,108299,,예스플러스,,2004,러브송
85,슈퍼주니어,11 (13),남,175404,,SM,"신동 (SHINDONG), 예성 (YESUNG), 성민 (SUNGMIN), 규현 (KYUHYUN), 려욱 (RYEOWOOK), 강인 (KANGIN), 동해 (DONGHAE), 희철 (HEECHUL), 시원 (SIWON), 이특 (LEETEUK), 은혁 (EUNHYUK), 기범",2005,Twins (Knock Out)
86,파란,5,남,173323,,NH미디어,"라이언, 피오(P.O), 에이스",2005,첫사랑
87,더블에스오공일,5,남,170541,,DSP미디어,"김현중, 김형준, 박정민, 허영생, 김규종",2005,경고
88,키스 파이브,5,여,164035,,ADbell,,,
89,천상지희 더 그레이스,4,여,168015,,SM,"다나 (DANA), 선데이 (SUNDAY), 스테파니 (STEPHANIE), 린아 (LINA)",2005,Too Good
90,오렌지,3,여,175002,,오렌지,,2005,
91,배틀,6,남,209785,,굿,"진태화, 크리스, 리오, 류, 휘찬",2006,
92,빅뱅,5,남,198094,,YG,"태양, G-DRAGON, 대성, T.O.P, 승리",2006,We Belong Together
93,씽,4,남,209489,,씽,,2006,In Your Hands
94,브라운 아이드 걸스,4,여,181694,내가네트워크,미스틱,"제아, 나르샤 (Brown Eyed Girls), 미료, 가인",2006,다가와서
95,에이시아,4,여,184426,,예당,,2006,
96,초신성,6,남,229544,,마루,"성제 (초신성), 지혁 (초신성), 건일 (초신성), 윤학 (초신성), 성모 (초신성), 광수 (초신성)",2007,Hit
97,티맥스,3,남,227372,,플래닛구공오,"신민철, 김준, 주찬양 (티맥스)",2007,Blooming
98,타키온,3,남,224625,,J&H미디어,,2007,
99,에프티 아일랜드,5,남,226490,,FNC,"이홍기 (FT아일랜드), 이재진 (FT아일랜드), 최민환 (FT아일랜드), 최종훈 (FT아일랜드), 송승현 (FT아일랜드)",2007,사랑앓이
100,카라,4,여,222128,,DSP미디어,"박규리 (카라), 한승연, 구하라 (카라), 허영지 (카라)",2007,Break It
101,베이비 복스 리브,5,여,100032,,DR뮤직,"심은진, 간미연, 윤은혜",1997,머리 하는 날
102,써니힐,4 (5),여 (혼),229494,,로엔,"주비, 승아, 미성, 코타",2007,통화 연결음
103,원더걸스,4 (5),여,217764,,JYP,"유빈 (Yubin), 핫펠트 (예은), 선미, 혜림 (원더걸스)",2007,Irony (아이러니)
104,소녀시대,8 (9),여,228069,,SM,"태연 (TAEYEON), 써니 (SUNNY), 유리 (YURI), 수영 (SOOYOUNG), 티파니 (TIFFANY), 서현 (SEOHYUN), 윤아 (YOONA), 효연 (HYOYEON)",2007,다시 만난 세계 (Into The New World)
105,유키스,5 (10),남,259928,,NH미디어,"수현 (U-Kiss), 기섭 (U-Kiss), 일라이 (U-Kiss), 케빈 (U-Kiss), 훈 (U-Kiss), 준 (U-Kiss)",2008,어리지 않아
106,스매쉬 (토니 & 스매쉬),5 (6),남,257968,,TN,"세계, 제리, 나루, 한방, 히로",2008,
107,에이스타일,6,남,243727,,DSP미디어,,2008,
108,샤이니,4 (5),남,247639,,SM,"종현 (JONGHYUN), 키 (KEY), 태민 (TAEMIN), 온유 (ONEW), 민호 (MINHO)",2008,누난 너무 예뻐
109,투에이엠,4,남,253866,,JYP,"조권, 이창민, 슬옹, 진운",2008,이노래
110,투피엠,6 (7),남,259822,,JYP,"닉쿤, 택연, 장우영, 준호, 찬성, 준케이 (JUN. K)",2008,10점 만점에 10점
111,슈아이,5,남,431440,,예전미디어,,,
112,엠블랙,3 (5),남,436980,,제이튠캠프,"지오 (G.O), 승호 (MBLAQ), 미르 (MBLAQ)",2009,Oh Yeah
113,비스트,5 (6),남,436981,,큐브,,2009,Bad Girl
