,artist,member_num,gender,idol_id,agency_old,agency_new,melon_artist,artist_m,debut_y,debut_t
165,JJ 프로젝트,2,남,672041.0,,JYP,EXO,"카이 (KAI), 첸 (CHEN), 세훈 (SEHUN), 레이 (LAY), 시우민 (XIUMIN), 백현 (BAEKHYUN), 디오 (D.O.), 수호 (SUHO), 찬열 (CHANYEOL), 크리스 (KRIS), 루한 (LUHAN), 타오 (TAO)",2013,늑대와 미녀 (Wolf)
166,빅스,6,남,672560.0,,젤리피쉬,JJ Project,"JB (GOT7), 진영 (GOT7)",2012,Bounce
167,에이젝스,5 (8),남,672551.0,,DSP미디어,빅스,"엔 (VIXX), 레오 (빅스), 라비 (빅스), 켄 (빅스), 홍빈 (빅스), 혁 (빅스)",2012,SUPER HERO
168,크로스진,6,남,674297.0,,아뮤즈코리아,A-JAX,"형곤, 재형, 효준, 윤영, 성민, 승엽, 승진",2012,ONE 4 U
169,빅스타,5,남,684868.0,,브레이브,크로스진 (CROSS GENE),"신, 타쿠야, 용석, 상민, 세영",2012,La-Di Da-Di (라-디 다-디)
170,씨클라운,6,남,685624.0,,바나나컬쳐,빅스타,"필독 (BIGSTAR), 바람, 래환 (BIGSTAR), 주드 (BIGSTAR), 성학 (BIGSTAR)",2012,HOT BOY (핫보이)
171,투포케이,7,남,696519.0,,조은,C-CLOWN,"Rome, 시우, Ray, 강준, T.K, 마루",2012,SOLO
172,백퍼센트,5 (7),남,697486.0,,티오피미디어,투포케이,"코리, 정욱, 진홍, 홍섭, 창선, 기용",2012,빨리와
173,미스터미스터,5,남,698830.0,,로엔,백퍼센트,"혁진, 록현, 찬용, 민우, 종환",2012,나쁜놈
174,이엑스아이디,5 (6),여,630454.0,,바나나컬쳐,미스터미스터,"진, 창재, 태이, 도연, 상현, 재민",2012,
175,스피카,5,여,615471.0,,CJE&M,EXID,"LE (EXID), 정화 (EXID), 혜린 (EXID), 솔지 (EXID), 하니 (EXID)",2012,WHOZ THAT GIRL
176,레인보우 픽시,3,여,614911.0,,DSP미디어,스피카,"양지원 (스피카), 김보아 (스피카), 박시현 (스피카), 박나래 (스피카), 김보형",2012,독하게
177,소녀시대-태티서,3,여,663691.0,,SM,레인보우 픽시,"현영 (레인보우), 오승아, 지숙",2012,호이 호이 (Hoi Hoi)
178,헬로비너스,6,여,668491.0,,판타지오,소녀시대-태티서 (Girls` Generation-TTS),"태연 (TAEYEON), 티파니 (TIFFANY), 서현 (SEOHYUN)",2012,Twinkle
179,갱키즈,7,여,672106.0,,MBK,헬로비너스,"앨리스 (헬로비너스), 나라 (헬로비너스), 라임 (헬로비너스), 유영 (헬로비너스), 여름 (헬로비너스), 서영 (헬로비너스)",2012,Venus
180,써니데이즈,5,여,672919.0,,하은,갱키즈,"황지현, 최수은, 이해인, 김혜지, 소민, 조은별, 에스더",2012,HONEY HONEY
181,글램,4,여,685319.0,쏘스뮤직,빅히트,써니데이즈,"선경, 정윤, 희라, 다솜, 다영",2012,가져가 (Take Away)
182,에이오에이,6 (8),여,686920.0,,FNC,글램,"이미소, 박지연, 다희, ZINNI",2012,
183,크레용팝,4 (5),여,685904.0,,크롬,AOA,"설현 (AOA), 혜정 (AOA), 찬미 (AOA), 유나 (AOA), 민아 (AOA), 지민 (AOA)",2012,ELVIS
184,디유닛,3,여,683453.0,,디비즈니스,크레용팝,"엘린, 소율, 금미 (크레용팝), 초아 (크레용팝), 웨이 (크레용팝)",2012,Saturday Night
185,이블,5,여,686378.0,,후너스,디유닛,"R.A.M, Z.I.N (디유닛), Ujin",2012,I`m Missin` You
186,투엑스,4 (5),여,690511.0,제이튠캠프,스타게이즈(,이블,"Say, J-DA, 쥬시 (JUCY), Hayana (하야나), YULL",,
187,스카프,5,여,687891.0,,알파,투엑스,"지유 (JIU), 은 (EUN), 수린 (SURIN), 은영 (EUN YOUNG)",2012,Double Up
188,타이니지,3 (4),여,671571.0,,지앤지프로덕션,SKARF,"페린, 타샤, 제니, 주아, 하나",2012,
189,피에스타,5 (6),여,686679.0,,로엔,타이니지,"도희, 제이민, 민트",2012,Polaris
190,비비드걸,6,여,697811.0,,빅스타,피에스타,"재이, 린지, 예지, 옐 (YEL), 차오루",2012,Vista
191,타히티,5 (6),여,685746.0,,드림스타,비비드걸,,,
192,비비드,3 (6),여,651431.0,,엔트리,타히티,"아리, 미소, 지수, 민재, 제리",2012,Tonight
193,인피니트 에이치,2,남,715422.0,,울림,비비드,"박성희, 정아영, 신아름, 쇼킹, 설린",2012,
194,제아 파이브,5,남,719888.0,,스타제국,인피니트H,"HOYA (호야), 장동우 (인피니트)",2013,Special Girl (Feat. Bumkey)
