artist,artist_eng,member_num,leader_name,gender,agency,idol_id
투엑스,Two X,4 (5),지유,여,스타게이즈 엔터테인먼트 (결성은?제이튠 캠프),690511
스카프,Skarf,5,타샤,여,알파 엔터테인먼트,687891
타이니지,Tiny-G,3 (4),제이민,여,지앤지 프로덕션,671571
피에스타,Fiestar,5 (6),재이,여,로엔 엔터테인먼트,686679
비비드걸,BBde Girl,6,손하나,여,빅스타 엔터테인먼트,697811
타히티,Tahiti,5 (6),민재,여,드림스타 엔터테인먼트,685746
비비드,VIVID,3 (6),아름,여,엔트리 엔터테인먼트,651431
인피니트 에이치,INFINITE H,2,,남,울림 엔터테인먼트,715422
제아 파이브,ZE:A five,5,,남,스타제국,719888
히스토리,HISTORY,5,송경일,남,로엔 엔터테인먼트,721703
엘씨나인,LC9,5 (6),라사,남,내가네트워크,723216
핫젝갓알지,,5,,남,,722812
방탄소년단,BTS,7,RM,남,빅히트 엔터테인먼트,672375
스피드,SPEED,8,우태운,남,MBK 엔터테인먼트,714785
소년공화국,Boys Republic,5,원준,남,유니버설 뮤직. 해피트라이브 엔터테인먼트,724751
엔오엠,NOM,3 (5),아인,남,제이엠스타 엔터테인먼트,730335
제노티,Xeno-T,10 (13),상도,남,후너스 엔터테인먼트,
프로씨,Pro C,2,,남,지앤아이 엔터테인먼트,745722
투윤,2YOON,2,,여,큐브 엔터테인먼트,715898
다소니,DASONI,2,솔지,여,바나나컬쳐 엔터테인먼트,717917
레이디스 코드,LADIES' CODE,3 (5),애슐리,여,일광폴라리스 엔터테인먼트,718807
베스티,BESTie,4,혜연,여,YNB 엔터테인먼트,727818
와썹,Wa$$up,7,진주,여,마피아 레코드,729885
키스&크라이,KISS&CRY,4,보혜,여,위닝인사이트엠,741841
틴트,Tint,5,메이,여,GH 엔터테인먼트,742722
엠앤엔,M&N,2,미료,여,미스틱 엔터테인먼트,744134
풍뎅이,Pungdeng-E,3,파랑,여,DoMA 엔터테인먼트,747339
비트윈,BEAT WIN,2 (6),선혁,남,"골드문 뮤직, 에렌 엔터테인먼트",749361
비에이,Be.A,5,홍규,남,크롬 엔터테인먼트,749603
갓세븐,GOT7,7,JB,남,JYP 엔터테인먼트,751059
투하트,Toheart,2,남우현,남,SM 엔터테인먼트.?울림 엔터테인먼트,760193
제이제이씨씨,JJCC,7 (5),심바,남,더 잭키 찬 그룹 코리아,762950
하이포,HIGH4,4,김성구,남,N.A.P. 엔터테인먼트,767374
빅플로,Bigflo,6,정균,남,에이치오컴퍼니,775702
헤일로,HALO,6,오운,남,아인홀딩스,775874
